Test,Frequency,Fixtures
Kitchen_Sink_All_Freq_avg_contact_4c2,f8000,6.892885117
Kitchen_Sink_All_Freq_avg_contact_4c2,f10000,7.433900545
Kitchen_Sink_All_Freq_avg_ambient_4c2,f25,9.599345131
Kitchen_Sink_All_Freq_avg_ambient_4c2,f31_5,8.242595407
Kitchen_Sink_All_Freq_avg_ambient_4c2,f40,7.925173785
Kitchen_Sink_All_Freq_avg_ambient_4c2,f50,10.21154808
Kitchen_Sink_All_Freq_avg_ambient_4c2,f63,11.62034923
Kitchen_Sink_All_Freq_avg_ambient_4c2,f80,13.30710707
Kitchen_Sink_All_Freq_avg_ambient_4c2,f100,13.19632159
Kitchen_Sink_All_Freq_avg_ambient_4c2,f125,13.15200441
Kitchen_Sink_All_Freq_avg_ambient_4c2,f160,14.57442915
Kitchen_Sink_All_Freq_avg_ambient_4c2,f200,15.98882541
Kitchen_Sink_All_Freq_avg_ambient_4c2,f250,16.43486488
Kitchen_Sink_All_Freq_avg_ambient_4c2,f315,16.8011735
Kitchen_Sink_All_Freq_avg_ambient_4c2,f400,20.10043255
Kitchen_Sink_All_Freq_avg_ambient_4c2,f500,19.99860824
Kitchen_Sink_All_Freq_avg_ambient_4c2,f630,21.0282973
Kitchen_Sink_All_Freq_avg_ambient_4c2,f800,19.93298219
Kitchen_Sink_All_Freq_avg_ambient_4c2,f1000,19.59726879
Kitchen_Sink_All_Freq_avg_ambient_4c2,f1250,18.20324657
Kitchen_Sink_All_Freq_avg_ambient_4c2,f1600,16.10761151
Kitchen_Sink_All_Freq_avg_ambient_4c2,f2000,15.68617589
Kitchen_Sink_All_Freq_avg_ambient_4c2,f2500,16.62016216
Kitchen_Sink_All_Freq_avg_ambient_4c2,f3100,15.51398693
Kitchen_Sink_All_Freq_avg_ambient_4c2,f4000,16.66242567
Kitchen_Sink_All_Freq_avg_ambient_4c2,f5000,16.30384836
Kitchen_Sink_All_Freq_avg_ambient_4c2,f6300,17.44133652
Kitchen_Sink_All_Freq_avg_ambient_4c2,f8000,16.44833091
Kitchen_Sink_All_Freq_avg_ambient_4c2,f10000,12.88911943
All_Freq_No_Flow_contact_4d1,f25,12.13087378
All_Freq_No_Flow_contact_4d1,f31_5,9.837487291
All_Freq_No_Flow_contact_4d1,f40,9.944621989
All_Freq_No_Flow_contact_4d1,f50,12.80637308
All_Freq_No_Flow_contact_4d1,f63,13.63988546
All_Freq_No_Flow_contact_4d1,f80,14.44463491
