Test,Frequency,Fixtures
Hose_Contact_Tst_3b,f630,65.6286083
Hose_Contact_Tst_3b,f800,64.6358948
Hose_Contact_Tst_3b,f1000,58.3541201
Hose_Contact_Tst_3b,f1250,53.51199575
Hose_Contact_Tst_3b,f1600,51.20549905
Hose_Contact_Tst_3b,f2000,50.80352285
Hose_Contact_Tst_3b,f2500,48.43707305
Hose_Contact_Tst_3b,f3100,46.53209565
Hose_Contact_Tst_3b,f4000,40.78559445
Hose_Contact_Tst_3b,f5000,35.8491809
Hose_Contact_Tst_3b,f6300,32.36078205
Hose_Contact_Tst_3b,f8000,28.37100765
Hose_Contact_Tst_3b,f10000,27.5529499
Hose_Ambient_Tst_3b,f25,9.84378837
Hose_Ambient_Tst_3b,f31_5,11.76144976
Hose_Ambient_Tst_3b,f40,11.27388395
Hose_Ambient_Tst_3b,f50,13.8461809
Hose_Ambient_Tst_3b,f63,18.68890025
Hose_Ambient_Tst_3b,f80,21.48928895
Hose_Ambient_Tst_3b,f100,20.72875525
Hose_Ambient_Tst_3b,f125,23.10335425
Hose_Ambient_Tst_3b,f160,24.9972594
Hose_Ambient_Tst_3b,f200,23.83603855
Hose_Ambient_Tst_3b,f250,25.2025998
Hose_Ambient_Tst_3b,f315,26.4795834
Hose_Ambient_Tst_3b,f400,35.0822038
Hose_Ambient_Tst_3b,f500,38.2053851
Hose_Ambient_Tst_3b,f630,28.3438763
Hose_Ambient_Tst_3b,f800,37.0326611
Hose_Ambient_Tst_3b,f1000,38.21727205
Hose_Ambient_Tst_3b,f1250,32.8790448
Hose_Ambient_Tst_3b,f1600,33.99159915
Hose_Ambient_Tst_3b,f2000,35.3861203
Hose_Ambient_Tst_3b,f2500,33.9677821
Hose_Ambient_Tst_3b,f3100,33.7127124
Hose_Ambient_Tst_3b,f4000,35.4756563
Hose_Ambient_Tst_3b,f5000,37.58597675
Hose_Ambient_Tst_3b,f6300,41.523028
Hose_Ambient_Tst_3b,f8000,40.65374345
Hose_Ambient_Tst_3b,f10000,35.2288208
Hose_Contact_Tst_5b,f25,20.99869557
Hose_Contact_Tst_5b,f31_5,29.42756381
Hose_Contact_Tst_5b,f40,35.02205071
Hose_Contact_Tst_5b,f50,38.2539331
Hose_Contact_Tst_5b,f63,44.21457995
Hose_Contact_Tst_5b,f80,49.08798738
Hose_Contact_Tst_5b,f100,49.51621014
Hose_Contact_Tst_5b,f125,59.37047452
Hose_Contact_Tst_5b,f160,63.30285605
Hose_Contact_Tst_5b,f200,57.17513395
Hose_Contact_Tst_5b,f250,60.73656814
Hose_Contact_Tst_5b,f315,63.39488214
Hose_Contact_Tst_5b,f400,68.54286795
Hose_Contact_Tst_5b,f500,67.67580405
Hose_Contact_Tst_5b,f630,64.40779724
Hose_Contact_Tst_5b,f800,62.98439619
Hose_Contact_Tst_5b,f1000,55.82522657
Hose_Contact_Tst_5b,f1250,49.82664271
Hose_Contact_Tst_5b,f1600,45.05937476
Hose_Contact_Tst_5b,f2000,48.89862338
Hose_Contact_Tst_5b,f2500,46.33341448
Hose_Contact_Tst_5b,f3100,41.3621531
Hose_Contact_Tst_5b,f4000,36.6191399
Hose_Contact_Tst_5b,f5000,31.30083157
Hose_Contact_Tst_5b,f6300,28.3486891
Hose_Contact_Tst_5b,f8000,24.93406819
Hose_Contact_Tst_5b,f10000,23.71385467
Hose_Ambient_Tst_5b,f25,10.01661906
Hose_Ambient_Tst_5b,f31_5,11.51310686
Hose_Ambient_Tst_5b,f40,11.22880781
Hose_Ambient_Tst_5b,f50,14.22544588
Hose_Ambient_Tst_5b,f63,17.2634699
Hose_Ambient_Tst_5b,f80,19.72966162
Hose_Ambient_Tst_5b,f100,19.15645786
Hose_Ambient_Tst_5b,f125,20.19606552
Hose_Ambient_Tst_5b,f160,22.28941895
Hose_Ambient_Tst_5b,f200,22.31173286
Hose_Ambient_Tst_5b,f250,25.35834695
Hose_Ambient_Tst_5b,f315,26.29017814
Hose_Ambient_Tst_5b,f400,35.69009014
Hose_Ambient_Tst_5b,f500,36.93239967
Hose_Ambient_Tst_5b,f630,27.10127443
Hose_Ambient_Tst_5b,f800,36.0473989
Hose_Ambient_Tst_5b,f1000,36.28599276
Hose_Ambient_Tst_5b,f1250,30.23334514
Hose_Ambient_Tst_5b,f1600,29.28017767
Hose_Ambient_Tst_5b,f2000,33.92987895
Hose_Ambient_Tst_5b,f2500,31.47404257
Hose_Ambient_Tst_5b,f3100,28.40018224
Hose_Ambient_Tst_5b,f4000,28.63166943
Hose_Ambient_Tst_5b,f5000,30.72611695
Hose_Ambient_Tst_5b,f6300,32.61081819
Hose_Ambient_Tst_5b,f8000,32.10046576
Hose_Ambient_Tst_5b,f10000,24.65292852
Lav_Faucet_Contact_Tst_1c,f25,11.20933386
Lav_Faucet_Contact_Tst_1c,f31_5,9.783240781
Lav_Faucet_Contact_Tst_1c,f40,11.2293804
Lav_Faucet_Contact_Tst_1c,f50,14.79345117
Lav_Faucet_Contact_Tst_1c,f63,17.03411407
Lav_Faucet_Contact_Tst_1c,f80,18.32124895
Lav_Faucet_Contact_Tst_1c,f100,23.43714214
Lav_Faucet_Contact_Tst_1c,f125,26.11902705
Lav_Faucet_Contact_Tst_1c,f160,32.84941233
Lav_Faucet_Contact_Tst_1c,f200,32.45805357
Lav_Faucet_Contact_Tst_1c,f250,30.52667619
Lav_Faucet_Contact_Tst_1c,f315,29.58926081
Lav_Faucet_Contact_Tst_1c,f400,27.54634967
Lav_Faucet_Contact_Tst_1c,f500,24.88089138
Lav_Faucet_Contact_Tst_1c,f630,26.63319333
Lav_Faucet_Contact_Tst_1c,f800,22.75057321
Lav_Faucet_Contact_Tst_1c,f1000,15.70388932
Lav_Faucet_Contact_Tst_1c,f1250,12.08542922
Lav_Faucet_Contact_Tst_1c,f1600,8.995430587
Lav_Faucet_Contact_Tst_1c,f2000,5.983665752
Lav_Faucet_Contact_Tst_1c,f2500,3.323909962
Lav_Faucet_Contact_Tst_1c,f3100,1.955096747
Lav_Faucet_Contact_Tst_1c,f4000,2.567477874
Lav_Faucet_Contact_Tst_1c,f5000,2.145069903
Lav_Faucet_Contact_Tst_1c,f6300,1.383270691
Lav_Faucet_Contact_Tst_1c,f8000,1.85003131
Lav_Faucet_Contact_Tst_1c,f10000,4.93495781
Lav_Faucet_Ambient_Tst_1c,f25,15.63823571
Lav_Faucet_Ambient_Tst_1c,f31_5,11.94656574
Lav_Faucet_Ambient_Tst_1c,f40,11.13062548
